country,iso3,year,population
"Egypt, Arab Rep.",EGY,2022,112618250
"Egypt, Arab Rep.",EGY,2021,110957008
"Egypt, Arab Rep.",EGY,2020,109315124
"Egypt, Arab Rep.",EGY,2019,107553158
"Egypt, Arab Rep.",EGY,2018,105682094
Eritrea,ERI,2025,3607003
Eritrea,ERI,2024,3535603
Eritrea,ERI,2023,3470390
Eritrea,ERI,2022,3409447
Eritrea,ERI,2021,3350183
Eritrea,ERI,2020,3291271
Eritrea,ERI,2019,3240194
Eritrea,ERI,2018,3192760
Ethiopia,ETH,2025,135472051
Ethiopia,ETH,2024,132059767
Ethiopia,ETH,2023,128691692
Ethiopia,ETH,2022,125384287
Ethiopia,ETH,2021,122138588
Ethiopia,ETH,2020,118917671
Ethiopia,ETH,2019,115737383
Ethiopia,ETH,2018,112664152
Ghana,GHA,2025,35064272
Ghana,GHA,2024,34427414
Ghana,GHA,2023,33787914
Ghana,GHA,2022,33149152
Ghana,GHA,2021,32518665
Ghana,GHA,2020,31887809
Ghana,GHA,2019,31258945
Ghana,GHA,2018,30637585
Guinea,GIN,2025,15099727
Guinea,GIN,2024,14754785
Guinea,GIN,2023,14405468
Guinea,GIN,2022,14055137
Guinea,GIN,2021,13710513
Guinea,GIN,2020,13371183
Guinea,GIN,2019,13034346
Guinea,GIN,2018,12704774
"Gambia, The",GMB,2025,2822093
"Gambia, The",GMB,2024,2759988
"Gambia, The",GMB,2023,2697845
"Gambia, The",GMB,2022,2636470
"Gambia, The",GMB,2021,2576010
"Gambia, The",GMB,2020,2515733
"Gambia, The",GMB,2019,2456844
"Gambia, The",GMB,2018,2399632
Guinea-Bissau,GNB,2025,2249515
Guinea-Bissau,GNB,2024,2201352
Guinea-Bissau,GNB,2023,2153339
Guinea-Bissau,GNB,2022,2105529
Guinea-Bissau,GNB,2021,2058841
Guinea-Bissau,GNB,2020,2013255
Guinea-Bissau,GNB,2019,1967696
Guinea-Bissau,GNB,2018,1922168
Kenya,KEN,2025,57532493
Kenya,KEN,2024,56432944
Kenya,KEN,2023,55339003
Kenya,KEN,2022,54252461
Kenya,KEN,2021,53219166
Kenya,KEN,2020,52217334
Kenya,KEN,2019,51202827
Kenya,KEN,2018,50207107
Liberia,LBR,2025,5731206
Liberia,LBR,2024,5612817
Liberia,LBR,2023,5493031
Liberia,LBR,2022,5373294
Liberia,LBR,2021,5259323
Liberia,LBR,2020,5149463
Liberia,LBR,2019,5043721
Liberia,LBR,2018,4944726
Lesotho,LSO,2025,2363325
Lesotho,LSO,2024,2337423
Lesotho,LSO,2023,2311472
Lesotho,LSO,2022,2286110
Lesotho,LSO,2021,2261542
Lesotho,LSO,2020,2235727
Lesotho,LSO,2019,2209405
Lesotho,LSO,2018,2183603
Morocco,MAR,2025,38430770
Morocco,MAR,2024,38081173
Morocco,MAR,2023,37712505
Morocco,MAR,2022,37329064
Morocco,MAR,2021,36954442
Morocco,MAR,2020,36584208
Morocco,MAR,2019,36210898
Morocco,MAR,2018,35839760
Madagascar,MDG,2025,32740678
Madagascar,MDG,2024,31964956
Madagascar,MDG,2023,31195932
Madagascar,MDG,2022,30437261
Madagascar,MDG,2021,29691083
Madagascar,MDG,2020,28953556
Madagascar,MDG,2019,28219554
Madagascar,MDG,2018,27494926
Mali,MLI,2025,25198821
Mali,MLI,2024,24478595
Mali,MLI,2023,23769127
Mali,MLI,2022,23072640
Mali,MLI,2021,22388630
Mali,MLI,2020,21713836
Mali,MLI,2019,21068405
Mali,MLI,2018,20442030
Mauritania,MRT,2025,5315065
Mauritania,MRT,2024,5169395
Mauritania,MRT,2023,5022441
Mauritania,MRT,2022,4875637
Mauritania,MRT,2021,4734874
Mauritania,MRT,2020,4600131
Mauritania,MRT,2019,4467708
Mauritania,MRT,2018,4337685
Malawi,MWI,2025,22216120
Malawi,MWI,2024,21655286
Malawi,MWI,2023,21104482
Malawi,MWI,2022,20568728
Malawi,MWI,2021,20047258
Malawi,MWI,2020,19533888
Malawi,MWI,2019,19025752
Malawi,MWI,2018,18528081
Namibia,NAM,2025,3092816
Namibia,NAM,2024,3030131
Namibia,NAM,2023,2963095
Namibia,NAM,2022,2889662
Namibia,NAM,2021,2810548
Namibia,NAM,2020,2728762
Namibia,NAM,2019,2650494
Namibia,NAM,2018,2577327
Niger,NER,2025,27917831
Niger,NER,2024,27032412
Niger,NER,2023,26159867
Niger,NER,2022,25311973
Niger,NER,2021,24502140
Niger,NER,2020,23717613
Niger,NER,2019,22947757
Niger,NER,2018,22188069
Nigeria,NGA,2025,237527782
Nigeria,NGA,2024,232679478
Nigeria,NGA,2023,227882945
Nigeria,NGA,2022,223150896
Nigeria,NGA,2021,218529286
Nigeria,NGA,2020,213996181
Nigeria,NGA,2019,209485641
Nigeria,NGA,2018,204938755
Rwanda,RWA,2025,14569341
Rwanda,RWA,2024,14256567
Rwanda,RWA,2023,13954471
Rwanda,RWA,2022,13651030
Rwanda,RWA,2021,13355260
Rwanda,RWA,2020,13065837
Rwanda,RWA,2019,12776103
Rwanda,RWA,2018,12487996
Sudan,SDN,2025,51662147
Sudan,SDN,2024,50448963
Sudan,SDN,2023,50042791
Sudan,SDN,2022,49383346
Sudan,SDN,2021,48066924
Sudan,SDN,2020,46789231
Sudan,SDN,2019,45548175
Sudan,SDN,2018,44230596
Senegal,SEN,2025,18931966
Senegal,SEN,2024,18501984
Senegal,SEN,2023,18077573
Senegal,SEN,2022,17651103
Senegal,SEN,2021,17220867
Senegal,SEN,2020,16789219
Senegal,SEN,2019,16352922
Senegal,SEN,2018,15914498
Sierra Leone,SLE,2025,8819794
Sierra Leone,SLE,2024,8642022
Sierra Leone,SLE,2023,8460512
Sierra Leone,SLE,2022,8276807
Sierra Leone,SLE,2021,8094602
Sierra Leone,SLE,2020,7912558
Sierra Leone,SLE,2019,7731991
Sierra Leone,SLE,2018,7554563
"Somalia, Fed. Rep.",SOM,2025,19654739
"Somalia, Fed. Rep.",SOM,2024,19009151
"Somalia, Fed. Rep.",SOM,2023,18358615
"Somalia, Fed. Rep.",SOM,2022,17801897
"Somalia, Fed. Rep.",SOM,2021,17271431
"Somalia, Fed. Rep.",SOM,2020,16651191
"Somalia, Fed. Rep.",SOM,2019,16030971
"Somalia, Fed. Rep.",SOM,2018,15452487
South Sudan,SSD,2025,12188788
South Sudan,SSD,2024,11943408
South Sudan,SSD,2023,11483374
South Sudan,SSD,2022,11021177
South Sudan,SSD,2021,10865780
South Sudan,SSD,2020,10698467
South Sudan,SSD,2019,10423384
South Sudan,SSD,2018,10122977
Togo,TGO,2025,8591626
Togo,TGO,2024,8406558
Togo,TGO,2023,8223850
Togo,TGO,2022,8068616
Togo,TGO,2021,7936176
Togo,TGO,2020,7788054
Togo,TGO,2019,7619925
Togo,TGO,2018,7458206
Tunisia,TUN,2025,12348573
Tunisia,TUN,2024,12277109
Tunisia,TUN,2023,12200431
Tunisia,TUN,2022,12119334
Tunisia,TUN,2021,12048622
Tunisia,TUN,2020,11974057
Tunisia,TUN,2019,11875081
Tunisia,TUN,2018,11765514
Uganda,UGA,2025,51384894
Uganda,UGA,2024,50015092
Uganda,UGA,2023,48656601
Uganda,UGA,2022,47312719
Uganda,UGA,2021,45910930
Uganda,UGA,2020,44457152
Uganda,UGA,2019,42999637
Uganda,UGA,2018,41565831
Zambia,ZMB,2025,21913874
Zambia,ZMB,2024,21314956
Zambia,ZMB,2023,20723965
Zambia,ZMB,2022,20152938
Zambia,ZMB,2021,19603607
Zambia,ZMB,2020,19059395
Zambia,ZMB,2019,18513839
Zambia,ZMB,2018,17973569
Zimbabwe,ZWE,2025,16950795
Zimbabwe,ZWE,2024,16634373
Zimbabwe,ZWE,2023,16340822
Zimbabwe,ZWE,2022,16069056
Zimbabwe,ZWE,2021,15797210
Zimbabwe,ZWE,2020,15526888
Zimbabwe,ZWE,2019,15271368
Zimbabwe,ZWE,2018,15034452
