date,demand_low,demand_medium,demand_high,demand_total,icu_beds_needed,monitored_beds_needed,standard_beds_needed,total_beds_needed,acuity_load,physicians_needed,nurses_needed,techs_needed,ecg_needed,echo_needed,lab_draws_needed,bed_utilization,icu_utilization,staff_utilization,capacity_utilization,alert,day_of_week,is_weekend
2026-09-22,4.1,3.5,3.7,11.3,5,3,2,10,22.3,3,6,1,2,1,14,0.556,0.556,0.6,0.6,NORMAL,Tuesday,False
2026-09-23,4.2,3.7,4.2,12.1,6,3,2,11,24.2,3,6,1,2,1,15,0.611,0.667,0.6,0.667,NORMAL,Wednesday,False
2026-09-24,4.2,3.2,4.0,11.4,5,2,2,9,22.5,3,6,1,2,1,14,0.5,0.556,0.6,0.6,NORMAL,Thursday,False
2026-09-25,4.6,3.6,4.0,12.3,5,3,2,10,24.0,3,6,1,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Friday,False
2026-09-26,5.5,4.5,4.8,14.8,6,3,2,11,29.0,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Saturday,True
2026-09-27,5.2,4.3,4.9,14.5,6,3,2,11,28.7,3,7,2,2,1,18,0.611,0.667,0.7,0.72,NORMAL,Sunday,True
2026-09-28,4.3,4.0,4.1,12.5,5,3,2,10,24.8,3,6,2,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Monday,False
2026-09-29,3.8,3.8,3.9,11.5,5,3,2,10,23.1,3,6,1,2,1,14,0.556,0.556,0.6,0.6,NORMAL,Tuesday,False
2026-09-30,4.0,4.0,4.3,12.3,6,3,2,11,24.9,3,6,1,2,1,16,0.611,0.667,0.6,0.667,NORMAL,Wednesday,False
2026-10-01,3.9,3.5,4.1,11.5,5,3,2,10,23.3,3,6,1,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Thursday,False
2026-10-02,4.3,3.9,4.2,12.4,6,3,2,11,24.7,3,6,1,2,1,15,0.611,0.667,0.6,0.667,NORMAL,Friday,False
2026-10-03,5.3,4.7,5.0,15.0,7,3,2,12,29.7,3,8,2,2,2,18,0.667,0.778,0.8,0.8,NORMAL,Saturday,True
2026-10-04,5.0,4.5,5.1,14.6,7,3,2,12,29.4,3,8,2,2,2,18,0.667,0.778,0.8,0.8,NORMAL,Sunday,True
2026-10-05,4.1,4.2,4.4,12.7,6,3,2,11,25.6,3,7,2,2,1,16,0.611,0.667,0.7,0.7,NORMAL,Monday,False
2026-10-06,3.6,4.0,4.1,11.7,5,3,2,10,23.9,3,6,1,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Tuesday,False
2026-10-07,3.8,4.1,4.6,12.5,6,3,2,11,25.8,3,7,1,2,1,16,0.611,0.667,0.7,0.7,NORMAL,Wednesday,False
2026-10-08,3.7,3.6,4.4,11.7,6,3,2,11,24.2,3,6,1,2,1,15,0.611,0.667,0.6,0.667,NORMAL,Thursday,False
2026-10-09,4.2,3.9,4.5,12.6,6,3,2,11,25.6,3,7,2,2,1,16,0.611,0.667,0.7,0.7,NORMAL,Friday,False
2026-10-10,5.1,4.7,5.4,15.2,7,3,2,12,30.7,4,8,2,2,2,19,0.667,0.778,0.8,0.8,NORMAL,Saturday,True
2026-10-11,4.9,4.5,5.5,14.9,7,3,2,12,30.4,4,8,2,2,2,19,0.667,0.778,0.8,0.8,NORMAL,Sunday,True
2026-10-12,4.0,4.2,4.7,13.0,6,3,2,11,26.6,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Monday,False
2026-10-13,3.6,3.9,4.5,12.0,6,3,2,11,25.0,3,6,1,2,1,16,0.611,0.667,0.6,0.667,NORMAL,Tuesday,False
2026-10-14,3.8,4.0,5.0,12.8,6,3,2,11,26.9,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Wednesday,False
2026-10-15,3.8,3.5,4.8,12.1,6,3,2,11,25.3,3,7,1,2,1,16,0.611,0.667,0.7,0.7,NORMAL,Thursday,False
2026-10-16,4.3,3.9,4.9,13.1,6,3,2,11,26.8,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Friday,False
2026-10-17,5.3,4.7,5.7,15.7,7,3,2,12,31.9,4,8,2,2,2,20,0.667,0.778,0.8,0.8,NORMAL,Saturday,True
2026-10-18,5.1,4.5,5.9,15.5,8,3,2,13,31.7,4,8,2,2,2,20,0.722,0.889,0.8,0.889,HIGH_DEMAND,Sunday,True
2026-10-19,4.3,4.2,5.1,13.6,7,3,2,12,28.0,3,7,2,2,2,18,0.667,0.778,0.7,0.778,NORMAL,Monday,False
2026-10-20,3.9,4.0,4.8,12.7,6,3,2,11,26.3,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Tuesday,False
2026-10-21,4.1,4.1,5.3,13.5,7,3,2,12,28.2,3,7,2,2,2,18,0.667,0.778,0.7,0.778,NORMAL,Wednesday,False
2026-10-22,4.1,3.6,5.1,12.8,7,3,2,12,26.7,3,7,2,2,2,17,0.667,0.778,0.7,0.778,NORMAL,Thursday,False
2026-10-23,4.6,4.0,5.2,13.8,7,3,2,12,28.2,3,7,2,2,2,18,0.667,0.778,0.7,0.778,NORMAL,Friday,False
2026-10-24,5.6,4.8,6.0,16.5,8,3,2,13,33.3,4,8,2,2,2,21,0.722,0.889,0.8,0.889,HIGH_DEMAND,Saturday,True
2026-10-25,5.4,4.7,6.1,16.2,8,3,2,13,33.0,4,8,2,2,2,21,0.722,0.889,0.8,0.889,HIGH_DEMAND,Sunday,True
2026-10-26,4.6,4.4,5.3,14.3,7,3,2,12,29.3,3,8,2,2,2,19,0.667,0.778,0.8,0.8,NORMAL,Monday,False
2026-10-27,4.2,4.2,5.0,13.4,7,3,2,12,27.6,3,7,2,2,2,18,0.667,0.778,0.7,0.778,NORMAL,Tuesday,False
2026-10-28,4.4,4.3,5.5,14.2,7,3,2,12,29.5,3,8,2,2,2,19,0.667,0.778,0.8,0.8,NORMAL,Wednesday,False
2026-10-29,4.4,3.9,5.2,13.5,7,3,2,12,27.8,3,7,2,2,2,18,0.667,0.778,0.7,0.778,NORMAL,Thursday,False
2026-10-30,4.9,4.3,5.3,14.4,7,3,2,12,29.3,3,8,2,2,2,18,0.667,0.778,0.8,0.8,NORMAL,Friday,False
